Reference,Reference_Alternative,Reason_for_Exclusion,Notes,Occurrences
"Kamel, S. J., & Mrosovsky, N. (2006). Deforestation: Risk of sex ratio distortion in hawksbill sea turtles. Ecological Applications, 16(3), 923-931.",NA,Estimated hatchling sex ratios with temperature data,NA,2
"Katselidis, K. A., Schofield, G., Stamou, G., Dimopoulos, P., & Pantis, J. D. (2012). Females first? Past, present and future variability in offspring sex ratio at a temperate sea turtle breeding area. Animal Conservation, 15(5), 508-518.",NA,Estimated hatchling sex ratios with incubation length data,NA,3
"Kennedy, P., & Wilhoft, D. C. (1981). Temperature-dependent sex determination in snapping turtles Chelydra serpentina. Bulletin of the New Jersey Academy of Science, 26(2), 57.",NA,No access,NA,2
"Kennett, R., Georges, A., & Palmer-Allen, M. (1993). Early developmental arrest during immersion of eggs of a tropical freshwater turtle, Chelodina rugosa (Testudinata: Chelidae), from Northern Australia. Australian Journal of Zoology, 41(1), 37-45.",NA,No hatchling sex ratio data,NA,2
"Kettlewell, J. R., Raymond, C. S., & Zarkower, D. (2000). Temperature-dependent expression of turtle Dmrt1 prior to sexual differentiation. Genesis, 26(3), 174-178.",NA,No hatchling sex ratio data,NA,2
"Kikillus, K. H., Hare, K. M., & Hartley, S. (2012). Online trading tools as a method of estimating propagule pressure via the pet-release pathway. Biological Invasions, 14(12), 2657-2664.",NA,No hatchling sex ratio data,NA,2
"Kobayashi, S., Aokura, N., Fujimoto, R., Mori, K., Kumazawa, Y., Ando, Y., Matsuda, T., Nitto, H., Arai, K., Watanabe, G., & Saito, T. (2018). Incubation and water temperatures influence the performances of loggerhead sea turtle hatchlings during the dispersal phase. Scientific Reports, 8(1), 1-9.",NA,No hatchling sex ratio data,NA,9
"Kobayashi, S., Endo, D., Kondo, S., Kitayama, C., Ogawa, R., Arai, K., Watanabe, G., & Kawaguchi, M. (2020). Investigating the effects of nest shading on the green turtle (Chelonia mydas) hatchling phenotype in the Ogasawara islands using a field-based split clutch experiment. Journal of Experimental Zoology Part A, 333(9), 629-636.",NA,No hatchling sex ratio data,NA,3
"Kobayashi, S., Morimoto, Y., Kondo, S., Sato, T., Suganuma, H., Arai, K., & Watanabe, G. (2017). Sex differences and the heritability of scute pattern abnormalities in the green sea turtle from the Ogasawara Archipelago, Japan. Zoological Science, 34(4), 281-286.",NA,No hatchling sex ratio data,NA,3
"Kobayashi, S., Saito, Y., Osawa, A., Katsumata, E., Karaki, I., Nagaoka, K., Taya, K., & Watanabe, G. (2015). Embryonic sex steroid hormones accumulate in the eggshell of loggerhead sea turtle (Caretta caretta). General and Comparative Endocrinology, 224, 11-17.",NA,Estimated hatchling sex ratios with temperature data,NA,4
"Kohno, S., Bernhard, M. C., Katsu, Y., Zhu, J., Bryan, T. A., Doheny, B. M., Iguchi, T., & Guillette, L. J., Jr. (2015). Estrogen receptor 1 (ESR1; ERα), not ESR2 (ERβ), modulates estrogen-induced sex reversal in the American alligator, a species with temperature-dependent sex determination. Endocrinology, 156(5), 1887-1899.",NA,Crocodilian,NA,2
"Kohno, S., Katsu, Y., Urushitani, H., Ohta, Y., Iguchi, T., & Guillette, L. J., Jr. (2010). Potential contributions of heat shock proteins to temperature-dependent sex determination in the American alligator. Sexual Development, 4(1-2), 73-87.",NA,Crocodilian,NA,2
"Kraak, S. B. M., & de Looze, E. M. A. (1992). A new hypothesis on the evolution of sex determination in vertebrates; big females ZW, big males XY. Netherlands Journal of Zoology, 43(3-4), 260-273.",NA,No new data,NA,3
"Lageweg, W., & Ijlst, L. (1993). Incubation temperature and sex hormones in turtles: A direct relation. Lacerta, 51(5), 145-151.","Lageweg, W., & Ijlst, L. (1993). Broedtemperatuur en sekshormonen bij de Roodwangshildpad (Trachemys scripta) en de Europese moerasschildpad (Emys orbicularis): Een directe relatie. Lacerta, 51(5), 145-151.",No new data,NA,3
"Lakin, R. J., Barrett, P. M., Stevenson, C., Thomas, R. J., & Wills, M. A. (2020). First evidence for a latitudinal body mass effect in extant Crocodylia and the relationships of their reproductive characters. Biological Journal of the Linnean Society, 129(4), 875-887.",NA,Crocodilian,NA,1
"Laloë, J.-O., Cozens, J., Renom, B., Taxonera, A., & Hays, G. C. (2014). Effects of rising temperature on the viability of an important sea turtle rookery. Nature Climate Change, 4(6), 513-518.",NA,Estimated hatchling sex ratios with temperature data,NA,3
"Laloë, J.-O., Cozens, J., Renom, B., Taxonera, A., & Hays, G. C. (2017). Climate change and temperature-linked hatchling mortality at a globally important sea turtle nesting site. Global Change Biology, 23(11), 4922-4931.",NA,No hatchling sex ratio data,NA,3
"Laloë, J.-O., Esteban, N., Berkel, J., & Hays, G. C. (2016). Sand temperatures for nesting sea turtles in the Caribbean: Implications for hatchling sex ratios in the face of climate change. Journal of Experimental Marine Biology and Ecology, 474, 92-99.",NA,Estimated hatchling sex ratios with temperature data,NA,4
"Laloë, J.-O., Monsinjon, J., Gaspar, C., Touron, M., Genet, Q., Stubbs, J., Girondot, M., & Hays, G. C. (2020). Production of male hatchlings at a remote South Pacific green sea turtle rookery: Conservation implications in a female-dominated world. Marine Biology, 167(5), 70.",NA,Estimated hatchling sex ratios with temperature data,NA,2
"Lamont, M. M., Johnson, D., & Carthy, R. R. (2020). The incubation environment of nests deposited by a genetically distinct group of loggerhead sea turtles in Northwest Florida. Global Ecology and Conservation, 23, e01070.",NA,No hatchling sex ratio data,NA,2
"Lance, V. A. (2009). Is regulation of aromatase expression in reptiles the key to understanding temperature-dependent sex determination? Journal of Experimental Zoology Part A, 311(5), 314-322.",NA,No new data,NA,7
"Lance, V. A., & Bogart, M. H. (1994). Studies on sex determination in the American alligator Alligator mississippiensis. Journal of Experimental Zoology, 270(1), 79-85.",NA,Crocodilian,NA,2
"Lance, V. A., Elsey, R. M., & Lang, J. W. (2000). Sex ratios of American alligators (Crocodylidae): Male or female biased? Journal of Zoology, 252(1), 71-78.",NA,Crocodilian,NA,2
"Lang, J. W., & Andrews, H. V. (1994). Temperature-dependent sex determination in crocodilians. Journal of Experimental Zoology, 270(1), 28-44.",NA,Crocodilian,NA,2
"Langkilde, T., & Shine, R. (2005). Different optimal offspring sizes for sons versus daughters may favor the evolution of temperature-dependent sex determination in viviparous lizards. Evolution, 59(10), 2275-2280.",NA,Squamate,NA,1
"Lasala, J. A., Hughes, C. R., & Wyneken, J. (2018). Breeding sex ratio and population size of loggerhead turtles from Southwestern Florida. PloS one, 13(1), e0191615.",NA,No hatchling sex ratio data,NA,5
"Les, H. L., Paitz, R. T., & Bowden, R. M. (2006). Constant versus fluctuating incubation regimes differentially affect offspring phenotype. Integrative and Comparative Biology, 46(S1), E222.",NA,No hatchling sex ratio data,NA,3
"Les, H. L., Paitz, R. T., & Bowden, R. M. (2009). Living at extremes: Development at the edges of viable temperature under constant and fluctuating conditions. Physiological and Biochemical Zoology, 82(2), 105-112.",NA,No hatchling sex ratio data,NA,6
"Li, T., Cao, P., Bei, Y.-J., & Du, W.-G. (2018). Latitudinal and temperature-dependent variation in embryonic development rate and offspring performance in a freshwater turtle. Physiological and Biochemical Zoology, 91(1), 673-681.",NA,No hatchling sex ratio data,NA,2
"Liles, M. J., Rai Peterson, T., Seminoff, J. A., Gaos, A. R., Altamirano, E., Henríquez, A. V., Gadea, V., Chavarría, S., Urteaga, J., Wallace, B. P., & Peterson, M. J. (2019). Potential limitations of behavioral plasticity and the role of egg relocation in climate change mitigation for a thermally sensitive endangered species. Ecology and Evolution, 9(4), 1603-1622.",NA,Estimated hatchling sex ratios with incubation length data,NA,7
"Lin, Z.-H., Ji, X., Luo, L.-G., & Ma, X.-M. (2005). Incubation temperature affects hatching success, embryonic expenditure of energy and hatchling phenotypes of a prolonged egg-retaining snake, Deinagkistrodon acutus (Viperidae). Journal of Thermal Biology, 30(4), 289-297.",NA,Squamate,NA,1
"Literman, R., Radhakrishnan, S., Tamplin, J., Burke, R., Dresser, C., & Valenzuela, N. (2017). Development of sexing primers in Glyptemys insculpta and Apalone spinifera turtles uncovers an XX/XY sex-determining system in the critically-endangered bog turtle Glyptemys muhlenbergii. Conservation Genetics Resources, 9(4), 651-658.",NA,No hatchling sex ratio data,NA,5
"Little, D. C., & Edwards, P. (2004). Impact of nutrition and season on pond culture performance of mono-sex and mixed-sex Nile tilapia (Oreochromis niloticus). Aquaculture, 232(1-4), 279-292.",NA,Fish,NA,2
"Litzgus, J. D., & Mousseau, T. A. (2006). Geographic variation in reproduction in a freshwater turtle (Clemmys guttata). Herpetologica, 62(2), 132-140.",NA,No hatchling sex ratio data,NA,4
"Livernois, A. M., Graves, J. A. M., & Waters, P. D. (2012). The origin and evolution of vertebrate sex chromosomes and dosage compensation. Heredity, 108(1), 50-58.",NA,No hatchling sex ratio data,NA,1
"Lolavar, A., & Wyneken, J. (2016). The effect of rainfall on green turtle incubation temperatures and hatchling sex. Integrative and Comparative Biology, 56(S1), E325.",NA,No hatchling sex ratio data,NA,2
"López-Luna, M. A., Hidalgo-Mihart, M. G., Aguirre-León, G., González-Ramón, M. C., & Rangel-Mendoza, J. A. (2015). Effect of nesting environment on incubation temperature and hatching success of Morelet's crocodile (Crocodylus moreletii) in an urban lake of Southeastern Mexico. Journal of Thermal Biology, 49, 66-73.",NA,Crocodilian,NA,1
"Lorioux, S., DeNardo, D. F., Gorelick, R., & Lourdais, O. (2012). Maternal influences on early development: Preferred temperature prior to oviposition hastens embryogenesis and enhances offspring traits in the Children’s python, Antaresia childreni. Journal of Experimental Biology, 215(8), 1346-1353.",NA,Squamate,NA,1
"Lovich, J. E., Agha, M., Yackulic, C. B., Meyer-Wilkins, K., Bjurlin, C., Ennen, J. R., Arundel, T. R., & Austin, M. (2014). Nest site characteristics, nesting movements, and lack of long-term nest site fidelity in Agassiz’s desert tortoises at a wind energy facility in southern California. California Fish and Game, 100(3), 404-416.",NA,No hatchling sex ratio data,NA,5
"Magalhães, M. S., Vogt, R. C., Sebben, A., Dias, L. C., de Oliveira, M. F., & de Moura, C. E. B. (2017). Embryonic development of the Giant South American River Turtle, Podocnemis expansa (Testudines: Podocnemididae). Zoomorphology, 136(4), 523-537.",NA,No hatchling sex ratio data,NA,3
"Manshack, L. K., Conard, C. M., Bryan, S. J., Deem, S. L., Holliday, D. K., Bivens, N. J., Givan, S. A., & Rosenfeld, C. S. (2017). Transcriptomic alterations in the brain of painted turtles (Chrysemys picta) developmentally exposed to bisphenol A or ethinyl estradiol. Physiological Genomics, 49(4), 201-215.",NA,No hatchling sex ratio data,NA,3
"Marroquin-Flores, R. A., Mortimer, N. T., Paitz, R. T., & Bowden, R. M. (2020). Heat waves produce ecologically relevant expression profiles for temperature-responsive genes. The FASEB Journal, 34(S1), 1.",NA,No hatchling sex ratio data,NA,2
"Martín-del-Campo, R., Sifuentes-Romero, I., & García-Gasca, A. (2019). Hox genes in reptile development, epigenetic regulation, and teratogenesis. Cytogenetic and Genome Research, 157(1-2), 34-45.",NA,No hatchling sex ratio data,NA,2
"Martínez-Juárez, A., & Moreno-Mendoza, N. (2019). Mechanisms related to sexual determination by temperature in reptiles. Journal of Thermal Biology, 85, 102400.",NA,No new data,NA,3
"Massey, M. D., Congdon, J. D., Davy, C., & Rollinson, N. (2019). First evidence of metabolic heating in a freshwater turtle (Chelydra serpentina). Chelonian Conservation and Biology, 18(2), 145-152.",NA,No hatchling sex ratio data,NA,4
"Matsumoto, Y., & Crews, D. (2012). Molecular mechanisms of temperature-dependent sex determination in the context of ecological developmental biology. Molecular and Cellular Endocrinology, 354(1-2), 103-110.",NA,No new data,NA,2
"Maulany, R. I., Booth, D. T., & Baxter, G. S. (2012). Emergence success and sex ratio of natural and relocated nests of olive ridley turtles from Alas Purwo National Park, East Java, Indonesia. Copeia, 2012(4), 738-747.",NA,Estimated hatchling sex ratios with temperature data,NA,6
"Mayeaux, M. H., & Winston, G. W. (1998). Antibiotic effects on cytochromes P450 content and mixed-function oxygenase (MFO) activities in the American alligator, Alligator mississippiensis. Journal of Veterinary Pharmacology and Therapeutics, 21(4), 274-281.",NA,Crocodilian,NA,1
"McGaugh, S. E., Schwanz, L. E., Bowden, R. M., Gonzalez, J. E., & Janzen, F. J. (2010). Inheritance of nesting behaviour across natural environmental variation in a turtle with temperature-dependent sex determination. Proceedings of the Royal Society B, 277(1685), 1219-1226.",NA,No hatchling sex ratio data,NA,2
"Mérida, A. M., Ruiz, A., Navarro, E., Sifuentes-Romero, I., Abreu-Grobois, F. A., & Girondot, M. (2015). Contrasting incubation data for Lepidochelys olivacea highlight the need for more experimentation and detailed reporting. Marine Turtle Newsletter, 145, 15-19.",NA,No hatchling sex ratio data,NA,1
"Micheli-Campbell, M. A., Baumgartl, T., Booth, D. T., Campbell, H. A., Connell, M., & Franklin, C. E. (2013). Selectivity and repeated use of nesting sites in a freshwater turtle. Herpetologica, 69(4), 383-396.",NA,No hatchling sex ratio data,NA,3
"Micheli-Campbell, M. A., Campbell, H. A., Cramp, R. L., Booth, D. T., & Franklin, C. E. (2011). Staying cool, keeping strong: Incubation temperature affects performance in a freshwater turtle. Journal of Zoology, 285(4), 266-273.",NA,No hatchling sex ratio data,NA,2
"Micheli-Campbell, M. A., Gordos, M. A., Campbell, H. A., Booth, D. T., & Franklin, C. E. (2012). The influence of daily temperature fluctuations during incubation upon the phenotype of a freshwater turtle. Journal of Zoology, 288(2), 143-150.",NA,No hatchling sex ratio data,NA,4
"Mickelson, L. E., & Downie, J. R. (2010). Influence of incubation temperature on morphology and locomotion performance of Leatherback (Dermochelys coriacea) hatchlings. Canadian Journal of Zoology, 88(4), 359-368.",NA,Estimated hatchling sex ratios with temperature data,NA,3
"Miller, J. L., Thompson, D. M., Heywood, J., & Ligon, D. B. (2014). Nest-site selection among reintroduced Macrochelys temminckii. The Southwestern Naturalist, 59(2), 188-192.",NA,No hatchling sex ratio data,NA,2
"Miller, S., Derenne, A., Ellis-Felege, S., & Rhen, T. (2020). Incubation temperature and satiety influence general locomotor and exploratory behaviors in the common snapping turtle (Chelydra serpentina). Physiology & Behavior, 220, 112875.",NA,No hatchling sex ratio data,NA,2
"Milnes, M. R., Roberts, R. N., & Guillette, L. J., Jr. (2002). Effects of incubation temperature and estrogen exposure on aromatase activity in the brain and gonads of embryonic alligators. Environmental Health Perspectives, 110(S3), 393-396.",NA,Crocodilian,NA,1
"Milnes, M. R., Bryan, T. A., Medina, J. G., Gunderson, M. P., & Guillette, L. J., Jr. (2005). Developmental alterations as a result of in ovo exposure to the pesticide metabolite p,p'-DDE in Alligator mississippiensis. General and Comparative Endocrinology, 144(3), 257-263.",NA,Crocodilian,NA,1
"Milton, S. L., Schulman, A. A., & Lutz, P. L. (1997). The effect of beach nourishment with aragonite versus silicate sand on beach temperature and loggerhead sea turtle nesting success. Journal of Coastal Research, 13(3), 904-915.",NA,No hatchling sex ratio data,NA,2
"Mitchell, N. J., & Janzen, F. J. (2010). Temperature-dependent sex determination and contemporary climate change. Sexual Development, 4(1-2), 129-140.",NA,No hatchling sex ratio data,NA,3
"Mitchell, T. S., Janzen, F. J., & Warner, D. A. (2018). Quantifying the effects of embryonic phenotypic plasticity on adult phenotypes in reptiles: A review of current knowledge and major gaps. Journal of Experimental Zoology Part A, 329(4-5), 203-214.",NA,No hatchling sex ratio data,NA,1
"Mitchell, T. S., Warner, D. A., & Janzen, F. J. (2013). Phenotypic and fitness consequences of maternal nest-site choice across multiple early life stages. Ecology, 94(2), 336-345.",NA,No hatchling sex ratio data,NA,2
"Mitrus, S. (2002). Temperature dependent sex determination and the problem of protection of the European pond turtle. Przegląd Przyrodniczy, 13(3), 47-51.","Mitrus, S. (2002). Mechanizm temperaturowej determinacji płci a problem ochrony żółwia błotnego. Przegląd Przyrodniczy, 13(3), 47-51.",No hatchling sex ratio data,NA,2
"Miyagawa, S., Yatsu, R., & Iguchi, T. (2018). Environmental control of sex determination and differentiation in reptiles. In K. Kobayashi, T. Kitano, Y. Iwao, & M. Kondo (Eds.), Reproductive and developmental strategies: The continuity of life (pp. 367-390). Springer, Tokyo.",NA,No new data,NA,2
"Monsinjon, J., Guillon, J.-M., Hulin, V., & Girondot, M. (2017). Modelling the sex ratio of natural clutches of the European pond turtle, Emys orbicularis (L., 1758), from air temperature. Acta Zoologica Bulgarica, Supplement 10, 105-113.",NA,No new data,NA,4
"Montero, N., dei Marcovaldi, M. A. G., Lopez–Mendilaharsu, M., Santos, A. S., Santos, A. J. B., & Fuentes, M. M. P. B. (2018). Warmer and wetter conditions will reduce offspring production of hawksbill turtles in Brazil under climate change. PLoS One, 13(11), e0204188.",NA,No hatchling sex ratio data,NA,3
"Montero, N., Santidrian Tomillo, P., Saba, V. S., dei Marcovaldi, M. A. G., López-Mendilaharsu, M., Santos, A. S., & Fuentes, M. M. P. B. (2019). Effects of local climate on loggerhead hatchling production in Brazil: Implications from climate change. Scientific Reports, 9(1), 1-12.",NA,No hatchling sex ratio data,NA,2
"Moore, M. C., & Johnston, G. I. H. (2008). Toward a dynamic model of deposition and utilization of yolk steroids. Integrative and Comparative Biology, 48(3), 411-418.",NA,No hatchling sex ratio data,NA,1
"Moreno-Mendoza, N., Harley, V. R., & Merchant-Larios, H. (1999). Differential expression of SOX9 in gonads of the sea turtle Lepidochelys olivacea at male- or female-promoting temperatures. Journal of Experimental Zoology, 284(6), 705-710.",NA,No hatchling sex ratio data,NA,2
"Morjan, C. L. (2003). Variation in nesting patterns affecting nest temperatures in two populations of painted turtles (Chrysemys picta) with temperature-dependent sex determination. Behavioral Ecology and Sociobiology, 53(4), 254-261.",NA,No hatchling sex ratio data,NA,2
"Morjan, C. L., & Janzen, F. J. (2003). Nest temperature is not related to egg size in a turtle with temperature-dependent sex determination. Copeia, 2003(2), 366-372.",NA,No hatchling sex ratio data,NA,2
"Mrosovsky, N. (1980). Thermal biology of sea turtles. American Zoologist, 20(3), 531-547.",NA,No new data,NA,1
"Mrosovsky, N. (1994). Sex ratios of sea turtles. Journal of Experimental Zoology, 270(1), 16-27.",NA,No new data,NA,5
"Mrosovsky, N., Lavin, C., & Godfrey, M. H. (1995). Thermal effects of condominiums on a turtle beach in Florida. Biological Conservation, 74(3), 151-156.",NA,No hatchling sex ratio data,NA,2
"Muller, J. K., Gross, T. S., & Borgert, C. J. (2007). Topical dose delivery in the reptilian egg treatment model. Environmental Toxicology and Chemistry, 26(5), 914-919.",NA,No hatchling sex ratio data,NA,11
"Murdock, C. A., & Wibbels, T. (2002). Dmrt1 mRNA levels during development in a turtle with temperature-dependent sex determination. Integrative and Comparative Biology, 42(6), 1283.",NA,No hatchling sex ratio data,NA,2
"Murdock, C., & Wibbels, T. (2000). Use of a quantitative competitive RT-PCR to evaluate aromatase expression in a turtle. American Zoologist, 40(6), 1143.",NA,No hatchling sex ratio data,NA,2
"Murdock, C., & Wibbels, T. (2003). Expression of Dmrt1 in a turtle with temperature-dependent sex determination. Cytogenetic and Genome Research, 101(3-4), 302-308.",NA,No hatchling sex ratio data,NA,3
"Naro, E. F. S., Mrosovsky, N., & Marcovaldi, M. A. (1996). Thermal profiles of marine turtle hatcheries and nesting areas at Praia do Forte, Brazil. Bulletin of the Ecological Society of America, 77(3), 320.",NA,No hatchling sex ratio data,NA,1
"Navara, K. J. (2018). What went wrong at Jurassic Park? Modes of sex determination and adaptive sex allocation in reptiles. In K. J. Navara, Choosing sexes: Machanisms and adaptive patterns of sex allocation in vertebrates (pp. 155-181). Springer, Cham.",NA,No new data,NA,2
"Needham, R. J. (1981). December 1980. Rephiberary, 40, 3-5.",NA,No access,NA,1
"Neeman, N., Robinson, N. J., Paladino, F. V., Spotila, J. R., & O'Connor, M. P. (2015). Phenology shifts in leatherback turtles (Dermochelys coriacea) due to changes in sea surface temperature. Journal of Experimental Marine Biology and Ecology, 462, 113-120.",NA,No hatchling sex ratio data,NA,4
"Nelson, N. J., Keall, S. N., Refsnider, J. M., & Carter, A. L. (2018). Behavioral variation in nesting phenology may offset sex-ratio bias in tuatara. Journal of Experimental Zoology Part A, 329(6-7), 373-381.",NA,Tuatara,NA,1
"Nelson, N. J., Thompson, M. B., Pledger, S., Keall, S. N., & Daugherty, C. H. (2004). Egg mass determines hatchling size, and incubation temperature influences post-hatching growth, of tuatara Sphenodon punctatus. Journal of Zoology, 263(1), 77-87.",NA,Tuatara,NA,3
"Nelson, N. J., Thompson, M. B., Pledger, S., Keall, S. N., & Daugherty, C. H. (2004). Do TSD, sex ratios, and nest characteristics influence the vulnerability of tuatara to global warming? International Congress Series, 1275, 250-257.",NA,Tuatara,NA,1
"Noble, D. W. A., Stenhouse, V., & Schwanz, L. E. (2018). Developmental temperatures and phenotypic plasticity in reptiles: A systematic review and meta-analysis. Biological Reviews, 93(1), 72-97.",NA,No hatchling sex ratio data,NA,2
"Okada, Y., Yabe, T., & Oda, S.-I. (2011). Interpopulation variation in sex ratio of the Japanese pond turtle Mauremys japonica (Reptilia: Geoemydidae). Current Herpetology, 30(1), 53-61.",NA,No hatchling sex ratio data,NA,4
"Önder, B. F., & Candan, O. (2016). The feminizing effect of metabolic heating in Green Turtle (Chelonia mydas) clutches in the eastern Mediterranean. Zoology in the Middle East, 62(3), 239-246.",NA,Estimated hatchling sex ratios with temperature data,NA,3
"O'Shaughnessy, K. L., Valenzuela, N., Neuwald, J., Literman, R., Harris, A., & Manternach, T. (2010). Investigating the molecular basis of temperature-dependent sex determination in the painted turtle. The FASEB Journal, 24(S1), 854.5.",NA,No hatchling sex ratio data,NA,2
"Páez, V. P., Lipman, A., Bock, B. C., & Heppell, S. S. (2015). A plea to redirect and evaluate conservation programs for South America’s podocnemidid river turtles. Chelonian Conservation and Biology, 14(2), 205-216.",NA,No hatchling sex ratio data,NA,2
"Paitz, R. T., & Bowden, R. M. (2009). Rapid decline in the concentrations of three yolk steroids during development: Is it embryonic regulation? General and Comparative Endocrinology, 161(2), 246-251.",NA,No hatchling sex ratio data,NA,2
"Pallotta, M. M., Turano, M., Ronca, R., Mezzasalma, M., Petraccioli, A., Odierna, G., & Capriglione, T. (2017). Brain gene expression is influenced by incubation temperature during leopard gecko (Eublepharis macularius) development. Journal of Experimental Zoology Part B, 328(4), 360-370.",NA,Squamate,NA,3
"Parachú Marcó, M. V., Piña, C. I., Simoncini, M., & Alejandro, L. (2010). Effects of incubation and rearing temperatures on Caiman latirostris growth. Zoological Studies, 49(3), 367-373.",NA,Crocodilian,NA,1
"Parachú Marcó, M. V., Piña, C. I., Somoza, G. M., Jahn, G. A., Pietrobon, E. O., & Iungman, J. L. (2015). Corticosterone plasma levels of embryo and hatchling broad-snouted caimans (Caiman latirostris) incubated at different temperatures. South American Journal of Herpetology, 10(1), 50-57.",NA,Crocodilian,NA,1
"Parachú Marcó, M. V., Leiva, P. Iungman, J. L., Simoncini, M. S., & Piña, C. I. (2017). New evidence characterizing temperature-dependent sex determination in broad-snouted caiman, Caiman latirostris. Herpetological Conservation and Biology, 12(1), 78-84.",NA,Crocodilian,NA,2
"Park, A., Mortimer, J. A., & Wibbels, T. (2003). Evaluation of incubation temperatures in hawksbill sea turtle nests on islands in the Republic of the Seychelles. Integrative and Comparative Biology, 43(6), 1024.",NA,No hatchling sex ratio data,NA,1
"Park, A., Wibbels, T., Vega, L., Lira, D., Acosta, R., Pena, J., Burchfield, P., & Schroeder, B. (2005). Validation of temperature-based methods for estimating hatchling sex ratios in the Kemp's ridley sea turtle. Integrative and Comparative Biology, 44(6), 734.",NA,No hatchling sex ratio data,NA,1
"Parrott, A., & Logan, J. D. (2010). Effects of temperature variation on TSD in turtle (C. picta) populations. Ecological Modelling, 221(10), 1378-1393.",NA,No new data,NA,2
"Parrott, B. B., Kohno, S., Cloy-McCoy, J. A., & Guillette, L. J., Jr. (2014). Differential incubation temperatures result in dimorphic DNA methylation patterning of the SOX9 and aromatase promoters in gonads of alligator (Alligator mississippiensis) embryos. Biology of Reproduction, 90(1), 2.",NA,Crocodilian,NA,2
"Patino-Martinez, J., Marco, A., Quiñones, L., & Hawkes, L. (2012). A potential tool to mitigate the impacts of climate change to the caribbean leatherback sea turtle. Global Change Biology, 18(2), 401-411.",NA,Estimated hatchling sex ratios with temperature data,NA,4
"Patrício, A. R., Varela, M. R., Barbosa, C., Broderick, A. C., Ferreira Airaud, M. B., Godley, B. J., Regalla, A., Tilley, D., & Catry, P. (2018). Nest site selection repeatability of green turtles, Chelonia mydas, and consequences for offspring. Animal Behaviour, 139, 91-102.",NA,No hatchling sex ratio data,NA,5
"Patrício, A. R., Varela, M. R., Barbosa, C., Broderick, A. C., Catry, P., Hawkes, L. A., Regalla, A., & Godley, B. J. (2019). Climate change resilience of a globally important sea turtle nesting population. Global Change Biology, 25(2), 522-535.",NA,Estimated hatchling sex ratios with temperature data,NA,2
"Pavlidis, M., Koumoundouros, G., Sterioti, A., Somarakis, S., Divanach, P., & Kentouri, M. (2000). Evidence of temperature-dependent sex determination in the European sea bass (Dicentrarchus labrax L.). Journal of Experimental Zoology, 287(3), 225-232.",NA,Fish,NA,1
"Pewphong, R., Kitana, J., & Kitana, N. (2013). Effect of incubation temperature on the somatic development of the snail-eating turtle Malayemys macrocephala. Asian Herpetological Research, 4(4), 254-262.",NA,No hatchling sex ratio data,NA,2
"Pezaro, N., Doody, J. S., & Thompson, M. B. (2017). The ecology and evolution of temperature-dependent reaction norms for sex determination in reptiles: A mechanistic conceptual model. Biological Reviews, 92(3), 1348-1364.",NA,No hatchling sex ratio data,NA,1
"Pieau, C. (1998). Temperature-dependent sex determination in Emys orbicularis: Laboratory and field studies. Mertensiella, 10, 199-207.",NA,No access,Likely no new data,1
"Pieau, C. (2014). Temperature-dependent sex determination in reptiles: From the first observations to the end of a dogma. Bulletin de la Société Herpétologique de France, 150, 41-63.","Pieau, C. (2014). Le déterminisme du sexe dépendant de la température chez les reptiles: des premières observations à la fin d'un dogme. Bulletin de la Société Herpétologique de France, 150, 41-63.",No access,Likely no new data,4
"Pieau, C., & Dorizzi, M. (2004). Oestrogens and temperature-dependent sex determination in reptiles: All is in the gonads. Journal of Endocrinology, 181(3), 367-377.",NA,No new data,NA,4
"Pieau, C., Dorizzi, M., & Richard-Mercier, N. (1999). Temperature-dependent sex determination and gonadal differentiation in reptiles. Cellular and Molecular Life Sciences, 55(6-7), 887-900.",NA,No new data,NA,4
"Pieau, C., Girondot, M., Richard-Mercier, N., Desvages, G., Dorizzi, M., & Zaborski, P. (1994). Temperature sensitivity of sexual differentiation of gonads in the European pond turtle: Hormonal involvement. Journal of Experimental Zoology, 270(1), 86-94.",NA,No new data,NA,4
"Piña, C. I., Larriera, A., Medina, M., & Webb, G. J. W. (2007). Effects of incubation temperature on the size of Caiman latirostris (Crocodylia: Alligatoridae) at hatching and after one year. Journal of Herpetology, 41(2), 205-210.",NA,Crocodilian,NA,1
"Pintus, K. J., Godley, B. J., McGowan, A., & Broderick, A. C. (2009). Impact of clutch relocation on green turtle offspring. The Journal of Wildlife Management, 73(7), 1151-1157.",NA,Estimated hatchling sex ratios with temperature data,NA,5
"Qu, Y.-F., Lu, H.-L., Li, H., & Ji, X. (2014). Incubation temperature fluctuation does not affect incubation length and hatchling phenotype in the Chinese skink Plestiodon chinensis. Journal of Thermal Biology, 46, 10-15.",NA,Squamate,NA,1
"Qualls, F. J., & Shine, R. (1998). Geographic variation in lizard phenotypes: Importance of the incubation environment. Biological Journal of the Linnean Society, 64(4), 477-491.",NA,Squamate,NA,1
"Qualls, F. J., & Shine, R. (2000). Post-hatching environment contributes greatly to phenotypic variation between two populations of the Australian garden skink, Lampropholis guichenoti. Biological Journal of the Linnean Society, 71(2), 315-341.",NA,Squamate,NA,1
